course,type,code,description
architecture,core,20-221,"This course provides a general outline of the history of architecture, urbanism and landscapes from early cultures to the present, spanning both western and non-western traditions. It is designed to develop critical tools to analyse and appreciate architecture for its role in creating the spatial environments in which we conduct our lives. Students analyse buildings and the built environment in relation to their contexts and histories of building technology. They assist in understanding and assimilating architectural terms and spatial concepts in the students’ formative years. Instruction and practice in oral and written communication formats are provided. There are three broad objectives for this module:"
architecture,core,20-222,"Studies the essential interrelationships of architectural theory, history, and practice. Examines theoretical investigations not as specialised discourse relating exclusively to architectural production, but as essential and deeply relevant to diverse human social and economic activities, whether they be cultural, aesthetic, philosophical, or professional. Topics and examples are chosen from a wide range of materials and from classical antiquity to contemporary practice. Special topics relating to 21st century urbanisation, emerging economies and ecological and environmental debates will be addressed. Number of credits: 9 Workload: 3.5-0-5.5* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,core,20-224,"Today, we are all, voluntarily or involuntarily, surrounded by objects and built environments driven by Artificial Intelligence (AI). This phenomenon has not only led to the automation of designs themselves, but more fundamentally, the automation of design cognition and the optimization of aesthetic imaginations for our cultural futures. If architects and designers are to continue in playing their roles as cultural producers, social activists and technological imaginaries, a holistic understanding of today’s AI systems is essential. Such a foundational knowledge will provide the much-needed historical and theoretical bases for critically reassessing the current nature of design processes and reframing the future culture of architecture and design. The course will begin by tracing the fascinating and intertwined genealogies of artificial intelligence and architectural intelligence from the 1960s onwards. This history will be vividly brought forth to the present with complementary readings on AI aesthetics, AI artists and other emerging AI design topics, such as adversarial-based design algorithms, post-truth redesign of visual culture, unsolicited algorithmic cultivation of collective design tastes, and the territorial politics of computer vision-based surveillances. Beyond the ‘critical writing’ of AI & Design, students will also work in groups to speculate ‘critical designs’ based on their newly acquired perspectives on the culture and nature of artificial designs. The deliverables are in the forms of design mock-ups, visual diagrams and written texts."
architecture,core,20-318,"The course provides an overview of today’s machine learning apparatus for generative design and in turn speculates on the ways in which architectural design process itself might be altered as a result of this epistemological shift towards a ‘Software 2.0’ paradigm. By situating the discourse within an experimental prototyping context, students will not only gain the practical experience of applied machine learning workflow, but more importantly the architectural sensibility to conceptualize, articulate and implement their design applications in relation to these state-of-the-art Artificial Intelligence (AI) tools. Students are expected to work in small groups, curating and preparing the dataset; selecting and training the machine learning model; and finally generating designs from the learnt data distribution. The deliverables are in the forms of a design prototype and a written report, which could be used for future exhibition and publications."
architecture,core,20-319,"Image Credit: Daniel Joseph Whittaker The process upon which contemporary twentieth and twenty-first century-architects design, draw, write, and build is the focus of this course. The concomitant discourse amongst critics, the resulting scholarly critique, and the written design statement is a reflection of a complex set of values, hierarchies, and judgement criteria. This course’s goal is to deconstruct the embedded and often at times hidden sets of values that influence the creation of architecture and govern its design, construction, production, use, and occasional demise. Students will emerge from this course with a thorough understanding of modern canonical design philosophies in conjunction with a more concise understanding of what forces govern the growth and development of their nascent design ethos. By the end of this course, you will be able to: – Number of credits: 9 Workload: 3.5-0-5.5* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,elective,20-099,"Sketching is a way of communication and expression. Sketching architecture is a way to understand and record our spatial environment. Urban Sketching is designed to equip students with fundamental sketching skills with a focus on the urban fabrics and landscapes. The general learning objectives will be the acquisition of observation, sketching and drawing skills to present and perform self critique and reflection of personal work with reference to the urban built environment. At the end of the course, students will be able to: Students will be able to –"
architecture,elective,20-223,"Far from isolated trajectories, new ideas, scientific discoveries, technology innovation, and aesthetic avant-gardes occur in a highly interconnected manner. Complex dynamics between architectural designs and their cultural and technological contexts attest that architecture is not fully autonomous as it serves, negates, distorts, questions and produces its context. The course analyses the development of contemporary architecture through its relationships with technological and scientific advances. The course is roughly organized in a chronological format, starting with a brief overview of the industrial revolution and the early 20th century, placing emphasis on the second half of the 20th century and the development of current digital culture in architecture. Students develop an understanding of the relationships between architectural design, technology innovation and scientific ideas that led to contemporary architectural practice and theory. In this course, architectural design is placed into a broader intellectual context, which helps students not only understand the “what and how” architects do but also build perspective and framework to reflect on the “whys”. After completion of this subject, students will be able to: Measurable outcomes include: Number of credits: 9"
architecture,elective,20-301,"Students enrolled will gain insight into synthetic design processes and build up on the foundational skills taught in ASD core subjects including, computational geometry, computational structural analysis, experimental optimization, and digital fabrication. Students will be expected to complete a design project and a design report which demonstrates their understanding of the relationship between geometry and matter and their ability to creatively interpret analytical information. – Number of Credits: 9 Workload: 2-2-5* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,elective,20-302,"This seminar course teaches natural and electric lighting in an architectural context. Students will learn the scientific basis of light and visual perception in order to apply them to the design of two course projects: the design and construction of an electric light fixture (luminaire) and the comprehensive lighting design of a large communal gathering space with integrated electric and daylight systems. Individual activities and lectures focus on lighting measures and metrics, calibrated high dynamic range photography, daylight simulations, material properties, visual comfort / perception, electric lighting design, lighting energy consumption, scale model building and human behaviour. By the end of this course, you will be able to: – Number of credits: 9 Workload: 4-0-5* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,elective,20-303,"The seminar will investigate a number of qualitative and quantitative methods to measure and analyze urban spatial problems. The course is structured around five experiments, three weeks in duration each, where groups of students are asked to tackle a real world urban analytics exercise from beginning to end, starting with a introduction of theory and methods, followed by data collection and analysis and ending with a presentation of findings to the rest of the class. The nature of experiments can vary from year to year, allowing the course to address current and relevant urban issues. No of Credits: 9 Pre-requisites: 20.231 The Built Environment and Value"
architecture,elective,20-304,"The ‘Urban Housing Typology’ seminar will discuss the complex nature of urban contexts as places to formulate human habitation. Investigating the interdependencies evolving between a building’s entity and its urban territory students will speculate how strategies for urban building types have contributed in the past and can contribute in the future to urban development. Participants will understand the relevance of housing typology research and the potentials of designer’s repositories of known housing precedents as design expertise. Having gained a clear understanding of concepts like ‘type’ and ‘typology’ students will analyse both contemporary and historical housing precedents of building types like Block Enclosure, Urban Infill, Solitaire, Superblock, Apartment Tower, Residential Estate and Urban Row Houses. With these building types as typically evolving within and due to specific contextual conditions the investigations will make essential connections to a building’s territory, its urban type, its historical and economical context, its density and programs. Beyond discussing precedents as a typological knowledge on merely immutable built physical forms the course will also investigate the potential of operational building strategies like incrementalism, usage flexibility and neutrality, and user participation for sustainable urban communities. Both autochthonous building types and contemporary precedents with a particular focus on sustainable building performance will be another focus. By the end of this course, you will be able to: Number of credits: 9 Workload: 4-0-5* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,elective,20-305,"This course will acquaint participants with the discipline of architectural conservation, its origins, developments and inherent contradictions. The course will cover the range of scales of conservation, from the smallest denominator of artefact conservation to large-scale urban conservation. Students will be better positioned to appreciate and approach the question of conservation/preservation versus development/demolition and better prepared to understand the process, techniques, standards, and other considerations that define a high quality conservation effort upon the completion of the course. Case-studies in Singapore and the region will be introduced. Throughout the elective, we will be discussing the following: By the end of this course, you will be able to: Number of credits: 9 Workload: 3-0-9* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,elective,20-307,"The course is intended to give students enrolled a working understanding of how to design, construct, and operate sustainable architecture and urban design developments and projects toward achieving carbon neutral on all aspects. Students will develop an understanding of a building’s relationship to its site’s natural systems; the building enclosure’s ability to mitigate outdoor conditions; passive systems for conditioning and lighting; mechanical heating, cooling and ventilation strategies; lighting and daylighting opportunities; site and building water cycles; and health and well-being, and advanced building and environmental system simulation through a series of lectures and workshops. Case studies will be introduced based on the lecture themes. Topics are discussed based on the physical laws that govern the exchange of energy between building and environment and how they relate to human comfort. The ability and confidence in making both quantitative and qualitative statements about building performance will help students in integrating these considerations into their future architecture and urban design work. Ultimately students will be able to understand the impact of their design decisions on building performance in order to mitigate the carbon footprint. Workshops throughout the semester will be a series of design exercise and environmental design studies as well as calculations, which will serve as supporting documents for the final carbon-neutral project at the end of the semester. Number of credits: 9 Workload: 2-2-5* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,elective,20-311,"The course offers knowledge and skill on advanced topics in digital design and fabrication, namely additive manufacturing, architectural robotics and automation in construction. The course is in continuation of the undergraduate design computation courses and in alignment of the Master’s thesis research formation. As a graduate level course it is based on design research where students are required to develop their own proposals, methods and artifact which will lead to publication of results in journals or conferences. Number of credits: 9"
architecture,elective,20-312,"This course aims to equip the students with theoretical/historical knowledge of ‘Social Architecture’ as well as practical skills for practicing it. Students will be exposed to key concepts, methods and goals developed in social architecture, an umbrella term that includes community architecture and planning, community design, social design, democratic design, community development, etc. which share a common approach of environmental design that encourages social behaviours leading towards certain public benefits, such as liveability, safety, and sustainability. Through case studies, fieldworks and hands-on workshops, students will learn the various design processes that often involve the members of community, and how these strategies could be applied in their own design projects. The first half of the course will introduce students to theories and methods; while the second half will explore various topics under which social architecture is currently being practiced. By the end of this course, you will be able to: Number of credits: 9 Workload: 4-0-5* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,elective,20-313,"This seminar course teaches methods for the design and analysis of sustainable urban neighbourhoods and cities. Subtopics within this field that students will learn about include: walkability, outdoor thermal comfort, urban daylight potential, neighbourhood and building energy utilization, embodied energy, photovoltaic energy potential, and cogeneration systems. Large teams of 5-6 students will work in a role mimicking that of designers and consultants where they must work together to bring their own specialised interests together in the design of a sustainable neighbourhood. The course will be evaluated based upon 5 combined laboratory and homework exercises, a case-study analysis, and the completion of a final design project."
architecture,elective,20-314,"This seminar focuses of the paradigms of adaptation in the field of architecture and urbanism today. The course will introduce to students the various scales and challenges in adaptation from visionary proposals to actual built projects. Through a series of comparative case studies in Singapore and overseas, the course will equip students with a critical overview of the challenges and opportunities of adaptation within our built environment. Given the lack of a unified theory of adaptation, the seminar group will embark on a journey, attempting to formulate a theory or a position towards adaptation through architectural typologies and the prevailing socio-economic paradigm, which include: culture, informal, shrinking, landscape, resilience, etc. By the end of this course, you will be able to: Number of credits: 9 Workload: 4-0-5* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,elective,20-316,"The course is a cross-disciplinary collaboration between Architecture and Sustainable Design and Engineering Product Development. It brings together material science and digital fabrication, fusing natural composites with industrial robotics, aiming to produce innovation in the realm of sustainable design and manufacturing. It suggests that designs inspired by biological processes found in nature, may assist in transforming society toward a more environmentally benign mode of production from the ground up. This process starts from the understanding of the principles behind structural biological systems and the development of tools embracing the paradigm imposed by nature instead of those predefined by the existing manufacturing technologies. As a research and design course, students are required to develop their own proposals, methods and artefact which may lead to publication of results in journals and conferences. After successful completion of the subject students will be able to: ASD EPD Number of credits: 9 Workload: 1-3-5* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,elective,20-317,"Augmented Reality has crossed a significant threshold in its development with the recent introduction of hardware and programming kits such as the HoloLens and ARCore / ARKit respectively. It is now more accessible to end-users who may wish to adopt this technology for their specific domain purposes. The moment is ripe for architects, who comprise one such group of end-users, to explore the potentials of AR and critically evaluate where it can be used to enhance established workflows. If AR does indeed have the potential to disrupt how architecture is currently conceived, represented and materialized, then it would be critical to expose students to such technology. This elective course will furnish students with conceptual and technical knowledge, enabling them to explore how AR can be utilized at various stages of the design to production process. Furthermore, it will build upon topics introduced earlier in the core syllabus relating to computation and fabrication. The objective of this course is to ensure students become adroit users of AR, as well as to contribute and possibly shape the nascent discourse around this technology in the architectural domain. – Number of credits: 9 Workload: 2-2-5* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,elective,20-320,"Project Management is a course set in the context of Singapore’s Building Construction industry. It covers management topics necessary to bring about the successful completion of building projects, including scheduling, resource allocation, risk assessment, budgeting, and cost planning, with emphasis on sustainable design and construction. Project management aims at understanding fundamental principles, modelling methods, and tools, as well as the best practices employed in the industry today. As a management course, students are required to work individually but also in groups to practice their management skills. The class is conducted as a project-based module and there will be no formal exams. Lectures are conducted weekly for students to understand the key principles and how to apply them practically, looking at different case studies. Assignments entail different project management knowledge areas that are eventually compiled into a group report to demonstrate the group’s ability to manage a building project comprehensively. After successful completion of the subject, students will be able to: No of credits: 9 Workload: 2-2-5* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,elective,20-321,"This course introduces architectural and urban acoustics by emphasizing the importance of space shaping, material selection, indoor and outdoor sound planning for enhancing our aural experiences. Topics of this course will include the fundamentals of sound and hearing, the acoustic properties of materials, room acoustics, and urban sound planning. The course is integrated with a series of lectures, reading assignments, acoustic measurements, and field trips to performing spaces. Throughout this course, students will gain the knowledge to evaluate acoustic conditions of spaces and to design indoor and outdoor environments with sound in mind. Number of credits: 9 Workload: 3-0-9* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,elective,20-322,"The course provides a cross-disciplinary overview of methods to assess and design Net Zero buildings, products, and systems in the context of global climate change. The course is a cross-disciplinary collaboration between Architecture and Sustainable Design and Engineering Product Development. The course investigates contemporary definitions of Net Zero Carbon and argues for the necessity of Whole Life Carbon assessment and design. An understanding of contemporary assessment methods is provided through study of the GHG Protocol, explicating the three scopes of carbon emissions, in concert with critically examined case studies of Net Zero buildings, products and systems. The course prioritizes preventing carbon emissions before they take place as part of the whole life carbon position, through lectures on impact assessment, design/process optimization. Additionally, an overview of contemporary work on carbon cycle, carbon management, carbon offsets and credits including carbon capture and sequestration provides a fuller picture to students of how Net Zero carbon may be attained. Students apply critical thinking and their disciplinary expertise to developing case study reports on a product, building or system of their choice and how it may be converted to Net Zero whole life carbon. Additional creative activities with lifecycle assessment, systems thinking, and games provide students with understanding and tools to supplement the case study with projections or scenarios. The final written report may be used for future sharing in educational context or in the context of conferences, publications."
architecture,elective,20-323,"[Latin repraesentare ‘to make present or manifest’] 1. Depicting or ‘making present’ something which is absent (e.g. people, places, events, or abstractions) in a different form: as in paintings, photographs, films, or language, rather than as a replica . “the making present in some sense of something which is nevertheless not present literally or in fact.” Hanna Pitkin. The Concept of Representation. (University of California Press: Berkeley and Los Angeles, 1967) “architects don’t build buildings, they make drawings” 1 , Evans, R. (1996) “Translations from Drawing to Building and Other Essays”. London: Architectural Association Publications If drawings are our language as designers, we surely must then enrich our vocabulary and foster new modes of meaningful of expression to allow for the emergence of true poetry; to communicate to provoke to seduce to speculate « forms & types of representation » operates as a testing laboratory for exploring the processes and methods embedded within the creative act of projecting. This course attempts to both, provide a historical/theoretical context to the importance of the act of re-presentation -external to architecture, within contemporary critical thought, and to introduce a set of techniques to reconnect to the creative act, both to exceed design and to reinvent it through the formation of new narratives. The examination of contemporary methodologies of media research and practice will provide a context for the better understanding of the why/how/when in relationship to history, technology and the human condition. Our objective is to generate critical engagement with media by research -and application. We approach this through a two-fold strategy; on the one hand, a series of lectures and seminars, where new approaches to media are presented and dissected with the students through in-class analysis and textual responses. On the other hand, during the second part of the course, the students will be introduced to a variety of representation techniques, triggering hands on, in-class work lasting one week. Such assignments aim at constructing Tête-à-tête strategies that apply theoretical and practical knowledge, weaving them and (re)conceptualising the relationship between media and design through personal projects. The goal is to ultimately sharpen students’ intellectual agility and to foster the reinvention of methods and mechanisms through which new modes of practice -in design and architecture, could emerge. Number of credits: 9 Workload: 3-0-6* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
design_ai,core,60-001,"Deep neural networks have revolutionized the landscape of modern day AI. In this course, we will take an applied approach and dive into deep neural networks: concepts, how they work, and how the students can implement them for concrete, practical problems. Students are expected to gain experience in tackling a complete deep learning project in PyTorch, from data gathering and augmentation to implementing and running a deep neural network. They will learn fundamental concepts in machine learning and neural networks such as transfer learning, data loaders, and others."
design_ai,core,60-002,Massive amounts of data are collected by many companies and organizations and the task of a data scientist is to extract actionable knowledge from the data. This course covers the fundamentals of AI applications in design where students will be introduced to design ontology to formulate representations of design and apply practical aspects of data science through group projects. Formulate design representations of a given design task and identify data sources for analysis Use AI techniques to identify design requirements Use AI techniques to generate design solutions Use a design ontology to identify limitations of an AI tool for a design task Identify data sources for AI implementation Extract design keywords from textual data through programming Use natural language processing (NLP) techniques to formulate design requirements Analyse design requirements for a structural design problem Propose and evaluate design solutions using a Generative Design CAD tool
design_ai,core,60-003,"In Product Design Studio, students will form teams to respond to a “Product Design Challenge” by developing, testing, and presenting a new product or business idea. Students will be introduced to a stage-based design process and be given opportunities to develop their skills in understanding user needs, ideating solutions and making prototypes through experiential learning."
design_ai,core,60-004,"In Service Design Studio, students will form a team to respond to a “Service Design Challenge” by conceptualizing, designing and implementing a new AI-based application to deliver a service. Students will learn web technologies to deploy cross-platform service solutions to various industry needs. For more information, please visit course website ."
design_ai,core,60-005,"Artificial intelligence is used in many applications in today’s world but is ultimately only useful in how it positively impacts the human experience. This course is an introduction to understanding how to design for people and utilise AI to empower people. We will cover several topics: establishing user requirements, interaction models, prototyping, human memory and attention, evaluating designs and AI in Human Computer Interaction. These topics will be explored via a combination of lectures, individual mini-projects and a group project to develop an AI-powered application to empower humans."
